Data,ID do Visitante,Canal,Página de Aterrissagem,Origem,Meio,Campanha,Estado,Keyword,Qualificação,Contagem,Taxa de Conversão
11/09/2024,65,20,31%,,,,,,,,
11/09/2024,Visitor 578049,Chat SalesIQ,https://russelservico.com.br/terceirizacao/construcao-civil,,,,parana,,Emprego,Emprego: 28,43%
11/09/2024,Visitor 117196,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gclid=EAIaIQobChMItKj45ZOkiAMVug6tBh3lCBixEAAYASAAEgLoP_D_BwE,google,pesquisa,pacotelimpeza,sao paulo,diarista,Emprego,Qualificado: 20,31%
11/09/2024,Visitor 707375,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=varejo&utm_content=ad05&utm_term=contratar%20vendedor&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9HvXiyHyFgwJ9-ZqMvZDKNikaR4Mz9OZ88-b05YZIYkU6vLxKdFRLBoCm1cQAvD_BwE,google,pesquisa,varejo,rio grande do norte,contratar vendedor,Emprego,Não Qualificado: 17,26%
11/09/2024,Visitor 608543,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=opmaquinas&utm_content=ad02&utm_term=mec%C3%A2nico%20de%20m%C3%A1quinas%20pesadas&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9OFKHFz4hbBp7yZIDXwDyZUqC_1PwPcJjUzFByBi5zhkPSnsg,google,pesquisa,opmaquinas,pernambuco,mecânico de máquinas pesadas,Emprego,,
11/09/2024,Visitor 216123,Chat SalesIQ,https://russelservico.com.br/servicos/recrutamento-e-selecao?utm_source=google&utm_medium=pesquisa&utm_campaign=recrutamentoselecao&utm_content=ad04&utm_term=agencia%20de%20rh&gad_source=1&gbraid=0AAAAADGsFhhP4HhtEM7g9iOsYX_wZa4dD&gclid=EAIaIQobChMIv7T5u5,google,pesquisa,recrutamentoselecao,minas gerais,agencia de rh,Emprego,Search Engine: 5 - 0,0%
11/09/2024,Visitor 264013,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=varejoRJ&utm_content=ad05&utm_term=contratar%20auxiliar%20administrativo&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9Fc-5CTF4BlXxeCCGS4Ody3AQJpawtey3aDo1ad0XiOL20qQ7yIM_hoCUt,google,pesquisa,varejorj,rio de janeiro,contratar auxiliar administrativo,Emprego,Adwords: 36 - 7,19%
11/09/2024,Visitor 679007,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=ti&utm_content=ad02&utm_term=contratar%20designer&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9FONRgFbmpNiT5BKtiiDe1awqg6JXO6lLXvOgK6k70kuIp1Afz39mRoCZsAQAvD_BwE,google,pesquisa,ti,bahia,contratar designer,Emprego,Direct: 7 - 4,57%
11/09/2024,Visitor 963891,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpezaRJ&utm_content=ad05&utm_term=diarista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9E2sxEY9qSJ67bEl9SNKvfTBW0RG8x46soU7gxD8OgAM2XNV7vnUQhoCLBkQAvD_BwE,google,pesquisa,pacotelimpezarj,rio de janeiro,diarista,Emprego,Campaigns: 3 - 1,33%
11/09/2024,Visitor 99354,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9CX0zz8wQFCODkeRuSFUh3-bm19gA0prKqEwg8G7b4cKRCrjp7JFLBoCKMIQAvD_BwE,google,pesquisa,pacotelimpeza,sao paulo,diarista,Emprego,Referrals: 2 - 2,100%
11/09/2024,Visitor 925460,Chat SalesIQ,https://russelservico.com.br/servicos/recrutamento-e-selecao?utm_source=google&utm_medium=youtube&utm_campaign=yremarketing&utm_content=ad01&utm_term=&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9PKTHwA9BqRGKgIm172vdDbRWny0anRx4ubQlJd5-a26NRLYqy8Z_RoCnK4QAvD_BwE,google,youtube,yremarketing,distrito federal,,Emprego,WhatsApp: 12 - 6,50%
11/09/2024,Visitor 534125,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=logistica&utm_content=ad04&utm_term=m%C3%A3o%20de%20obra%20para%20carga%20e%20descarga&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9B__MvBhL3SnnCA0ujCB9D_EgqBhkocRAJBXIlVWVyD8,google,pesquisa,logistica,pernambuco,mão de obra para carga e descarga,Emprego,,
11/09/2024,Visitor 768325,Chat SalesIQ,https://russelservico.com.br/,,,,goias,,Emprego,google: 38 - 8,21%
11/09/2024,Visitor 17695,Chat SalesIQ,https://russelservico.com.br/,,,,maranhao,,Emprego,taboola: 1 - 0,0%
11/09/2024,Visitor 616096,Chat SalesIQ,https://russelservico.com.br/,,,,piaui,,Emprego,,
11/09/2024,Visitor 917969,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=estacionamento&utm_content=ad02&utm_term=contratar%20motorista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9EpPY162FYKPqX_LUvGntdpKgON86AcKAQS85RRftUPu1YJlviTusBoC4ykQAvD_BwE,google,pesquisa,estacionamento,sao paulo,contratar motorista,Emprego,pesquisa: 34 - 7,21%
11/09/2024,Visitor 743519,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=terceirizacao&utm_content=ad06&utm_term=empresa%20terceirizada&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9LEgT2IHLmFj301YfcoXKCrTc7WTyzjykG5sgz7_NjpBdCALQ5VSthoCSgIQAvD_BwE,google,pesquisa,terceirizacao,para,empresa terceirizada,Emprego,youtube: 4 - 1,25%
11/09/2024,Visitor 387779,Chat SalesIQ,https://russelservico.com.br/,,,,rio de janeiro,,Emprego,,
11/09/2024,Visitor 291788,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=varejo&utm_content=ad03&utm_term=contratar%20vendedor%20freelancer&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9HH3e9tZmgzlADhGIPEBF4v3fMdkjUr7XxbLT9Q5mrJpwgLBW8p6mRoCqbgQAvD_,google,pesquisa,varejo,sao paulo,contratar vendedor freelancer,Emprego,pacotelimpeza: 8 - 3,38%
11/09/2024,Visitor 346822,Chat SalesIQ,https://russelservico.com.br/como-funciona?utm_source=google&utm_medium=pesquisa&utm_campaign=logistica&utm_content=ad04&utm_term=quero%20contratar%20motorista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9Bi92zk4t9B3zqLIR8fioAaTWbVac86vUMH2FLhvZNyXvQMG0Ghk,google,pesquisa,logistica,ceara,quero contratar motorista,Emprego,varejo: 3 - 0,0%
11/09/2024,Visitor 633788,Chat SalesIQ,https://russelservico.com.br/,,,,espirito santo,,Emprego,opmaquinas: 3 - 0,0%
11/09/2024,Visitor 742403,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=barerestaurante&utm_content=ad02&utm_term=contratar%20gar%C3%A7om&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9OPApAkvfjNt8bo9dweIrnt12HCxpfE3Az_q_ES0AdpTkKTzhTd5pRoCq6cQAvD_B,google,pesquisa,barerestaurante,parana,contratar garçom,Emprego,recrutamentoselecao: 1 - 0,0%
11/09/2024,Visitor 829820,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=estacionamento&utm_content=ad02&utm_term=motorista%20particular&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9DKpVgWJUmv1CU6LLZeL40fhXf1i9k7kuEskx8JCNh6ik5HfD08HhRoCHIIQAvD_BwE,google,pesquisa,estacionamento,sao paulo,motorista particular,Emprego,varejorj: 1 - 0,0%
11/09/2024,Visitor 934218,Campaigns,https://russelservico.com.br/?utm_source=taboola&utm_medium=referral&tblci=GiDrsvF-zZmvpX-caVIv2yll0-HHx8ujsQxwemgPk2TFyiDGlkooqZymxOHlxJH6ATCl3lM,taboola,,,alagoas,,Emprego,ti: 2 - 1,50%
11/09/2024,Visitor 779699,Campaigns,https://russelservico.com.br/como-funciona?utm_source=google&utm_medium=youtube&utm_campaign=ygeral&utm_content=ad01&utm_term=&wbraid=ClkKCAjwodC2BhA7EkkABxP8KmM5_UD9640juKU6EU8ZdWks8mzqH7G6qcjQvBR4Pi4hhN5WhDyYwywZ2s1Vg0ORDWBFSajDZN4iaoeS0dd1Q4F837PwGgJS6,google,youtube,ygeral,paraiba,,Emprego,pacotelimpezarj: 1 - 0,0%
11/09/2024,Visitor 611840,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=varejo&utm_content=ad05&utm_term=contratar%20vendedor&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9PYTSzH0dmJ7b3KXF2wg8sqQ_7zd8ftkc9RPNRWssyN_KuRYF1cH3xoCmbAQAvD_BwE,google,pesquisa,varejo,rio grande do norte,contratar vendedor,Emprego,yremarketing: 1 - 0,0%
11/09/2024,Visitor 944781,Chat SalesIQ,https://russelservico.com.br/,,,,sao paulo,,Emprego,logistica: 2 - 0,0%
11/09/2024,Visitor 595821,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9PBgbK5nmQC9dfAwo-yqi5fsDn2kFbAnbi7KxiJO9qrzrO-fDlU3KhoCZSIQAvD_BwE,google,pesquisa,pacotelimpeza,goias,diarista,Emprego,estacionamento: 2 - 0,0%
11/09/2024,Visitor 188139,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=opmaquinas&utm_content=ad03&utm_term=contratar%20operador%20empilhadeira&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9KhCt5B2vVMSOUox8HsPQVyyuMUZ2TZ6N_uoa8ZDMY9P3Air0ItKuRoCyt,google,pesquisa,opmaquinas,mato grosso,contratar operador empilhadeira,Emprego,terceirizacao: 2 - 1,50%
11/09/2024,Visitor 289024,Chat SalesIQ,https://russelservico.com.br/,,,,sao paulo,,Qualificado,barerestaurante: 3 - 1,33%
11/09/2024,Marilda,WhatsApp,,,,,,,Qualificado,ygeral: 3 - 1,33%
11/09/2024,Visitor 743606,Chat SalesIQ,https://russelservico.com.br/como-funciona,,,,bahia,,Qualificado,construcao: 5 - 1,20%
11/09/2024,Visitor 428878,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=construcao&utm_content=ad02&utm_term=contratar%20pedreiro&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9An7vAfejnSnqQuCLsFiHTlpAl8F9XmojJV3fWv8IgYkT6V2tvPxwxoCkAkQAvD_BwE,google,pesquisa,construcao,mato grosso,contratar pedreiro,Qualificado,adm: 1 - 0,0%
11/09/2024,Visitor 821661,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=ti&utm_content=ad03&utm_term=contratar%20programador&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9Il5sib_ENZP4d2JmFFa2X9kQ4siBS41ZSIp5ia8f1qm-33PPsK5JxoCfPwQAvD_BwE,google,pesquisa,ti,sao paulo,contratar programador,Qualificado,,
11/09/2024,@renata Bezerra,WhatsApp,,,,,,,Qualificado,,
11/09/2024,Luzineide,WhatsApp,,,,,,,Qualificado,,
11/09/2024,Marina Santos,WhatsApp,,,,,,,Qualificado,,
11/09/2024,Visitor 742845,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gbraid=0AAAAADGsFhj_ybQb9rrgMXDnUk_Djhq3m&gclid=EAIaIQobChMInazRsrakiAMVmR-tBh1qPwkDEAAYAiAAEgK_nPD_BwE,google,pesquisa,pacotelimpeza,minas gerais,diarista,Qualificado,,
11/09/2024,Visitor 34999,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=barerestaurante&utm_content=ad02&utm_term=contratar%20gar%C3%A7om%20para%20festa&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9PRGf3n7RQCn6f58MzjleQ3gvdQ6oxKEOY_V7EObP_sZ9H-lYN,google,pesquisa,barerestaurante,minas gerais,contratar garçom para festa,Qualificado,,
11/09/2024,Visitor 200117,Chat SalesIQ,https://russelservico.com.br/como-funciona,,,,pernambuco,,Qualificado,,
11/09/2024,Laércio,WhatsApp,,,,,,,Qualificado,,
11/09/2024,Visitor 143401,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=construcao&utm_content=ad03&utm_term=contratar%20encanador&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9MyLasYGfbYaWyJIUenOjdcTC-drFK2RVeo_1atJoJVLKpTAePEsGBoC8OIQAvD_BwE,google,pesquisa,construcao,sao paulo,contratar encanador,Não Qualificado,,
11/09/2024,Visitor 966860,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9DAPgkTTaP_rr3BW9NiBUA7cRd63nfkWzpvUgL2VoaTV1Yjdb4-EORoC1VkQAvD_BwE,google,pesquisa,pacotelimpeza,santa catarina,diarista,Não Qualificado,,
11/09/2024,SC,WhatsApp,,,,,,,Não Qualificado,,
11/09/2024,M.,WhatsApp,,,,,,,Não Qualificado,,
11/09/2024,Visitor 778973,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=construcao&utm_content=ad02&utm_term=contratar%20pedreiro&gad_source=1&gbraid=0AAAAADGsFhjiwaPRwPZWNV8I8tNaG3ZP2&gclid=EAIaIQobChMIkJCx0M6kiAMVMwytBh0w2SyJEAAYASAAEgKPivD_BwE,google,pesquisa,construcao,goias,contratar pedreiro,Não Qualificado,,
11/09/2024,Visitor 999739,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=youtube&utm_campaign=ygeral&utm_content=ad01&utm_term=&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9Aw_EeN045NLDc0PvCmjBLi2wXPuxaFK-lK1lIFx0KN24rdvdmRP7hoC_d8QAvD_BwE,google,youtube,ygeral,santa catarina,,Não Qualificado,,
11/09/2024,Joel,WhatsApp,,,,,,,Não Qualificado,,
11/09/2024,Visitor 665400,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=barerestaurante&utm_content=ad02&utm_term=padeiro&gad_source=1&gbraid=0AAAAADGsFhjGA2vim2_WaaB10jb16tYrp&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9KE6X_g-g46kSKwtsP1K5JAA796RQUUPrf5MNMf,google,pesquisa,barerestaurante,sao paulo,padeiro,Não Qualificado,,
11/09/2024,Visitor 512888,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=construcao&utm_content=ad04&utm_term=contratar%20encanador&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9Ev8sxE_d4XOv2h3bcIIec5uDbQ2jqB-au2D5ooKJNNsc0T1kTNKVxoC0dkQAvD_BwE,google,pesquisa,construcao,rondonia,contratar encanador,Não Qualificado,,
11/09/2024,Visitor 862817,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=adm&utm_content=ad02&utm_term=secret%C3%A1ria&gad_source=1&gclid=EAIaIQobChMI792UjdOkiAMVZCCtBh2oMTOvEAAYAiAAEgLup_D_BwE,google,pesquisa,adm,sao paulo,secretária,Não Qualificado,,
11/09/2024,Gabriel Malaquias,WhatsApp,,,,,,,Qualificado,,
11/09/2024,Visitor 586695,Campaigns,https://russelservico.com.br/como-funciona?utm_source=google&utm_medium=youtube&utm_campaign=ygeral&utm_content=ad01&utm_term=&wbraid=ClkKCAjwodC2BhA7EkkABxP8KjWBfMjkrfHY9a6us-oMhonoYwAZ-rL6vsMJT9XV5PFFqYUgpLGIZJQz8M1NLrGmJ4TWbkF7hfq9VG5FE87ujejQoqp-GgL3m,google,youtube,ygeral,sao paulo,,Qualificado,,
11/09/2024,Visitor 830918,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9PhNEni8xw-23Hpjceg09kp9-aBD9qVFf8FuJJOdnbEmH-QALHq3AxoCnTIQAvD_BwE,google,pesquisa,pacotelimpeza,para,diarista,Qualificado,,
11/09/2024,Visitor 668064,Chat SalesIQ,https://russelservico.com.br/,,,,sao paulo,,Qualificado,,
11/09/2024,Visitor 612821,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gbraid=0AAAAADGsFhj_ybQb9rrgMXDnUk_Djhq3m&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9Ignw_Kfjop764gpamvviKXXBtloyCSnBCLDm_Lp,google,pesquisa,pacotelimpeza,pernambuco,diarista,Qualificado,,
11/09/2024,Renan,WhatsApp,,,,,,,Não Qualificado,,
11/09/2024,Visitor 466390,Chat SalesIQ,https://russelservico.com.br/como-funciona?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gbraid=0AAAAADGsFhj_ybQb9rrgMXDnUk_Djhq3m&gclid=EAIaIQobChMImJrm3u-kiAMVpSKHAx2Z-jeVEAAYASABEgJTJPD,google,pesquisa,pacotelimpeza,santa catarina,diarista,Não Qualificado,,
11/09/2024,Paulo Anderson,WhatsApp,,,,,,,Não Qualificado,,
11/09/2024,Visitor 628771,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=construcao&utm_content=ad03&utm_term=contratar%20encanador&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9J0y91l3HeDVPy1lPnJEX2QLM8rIkD8tvfFrr9shs0dGTmnf6DnkuRoCZtcQAvD_BwE,google,pesquisa,construcao,sao paulo,contratar encanador,Não Qualificado,,
11/09/2024,Madalena Veras,WhatsApp,,,,,,,Não Qualificado,,
11/09/2024,Visitor 341322,Chat SalesIQ,https://russelservico.com.br/,,,,parana,,Não Qualificado,,
11/09/2024,Visitor 1922,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=opmaquinas&utm_content=ad02&utm_term=operador%20de%20escavadeira&gad_source=1&gclid=EAIaIQobChMIpuLP6_6kiAMVXF5IAB1Q_QaGEAAYASAAEgKdrPD_BwE,google,pesquisa,opmaquinas,minas gerais,operador de escavadeira,Não Qualificado,,
11/09/2024,Visitor 975081,Chat SalesIQ,https://russelservico.com.br/pesquisa?v=Cozinheiro,,,,rio de janeiro,,Qualificado,,
11/09/2024,Visitor 209071,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=terceirizacao&utm_content=ad06&utm_term=empresa%20terceirizada&gad_source=1&gbraid=0AAAAADGsFhgOq9yYWqGia_O8yjun8SsvD&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9EYFovhCqL9i0cpWmGJk0KG0Qx,google,pesquisa,terceirizacao,alagoas,empresa terceirizada,Qualificado,,
11/09/2024,Alexandre,Chat SalesIQ,https://russelservico.com.br/pesquisa?v=Cozinheiro,,,,rio de janeiro,,Qualificado,,
